"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","sleep_catShort","sleep_catLong","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","passive_catLow","passive_catHigh","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","long_illYes","diabetes_doctor_diagnosedYes","serious_dxYes - you will be asked about this later by an interviewer","angina_dx_age","mi_dx_age","dvt_dx_age","pe_dx_age","stroke_dx_age","heart_problems_collapsedYes","meds_chol_bp_diabetes_hormone_collapsedYes","meds_chol_bp_diabetes_collapsedYes","neutrophill_count","lymphocyte_count","monocyte_count"
0.39,0.58,0.37,0.41,0.46,0.65,0.25,0.27,0.44,0.17,0.25,0.32,0.95,0.81,0.58,0.42,0.31,0.27,0.22,0.44,0.47,0.45,0.87,0.15,0.63,0.28,0.41,0.42,0.13,0.28,0.29,0.3,0.25,0.86,0.22,0.4,0.51,0.21,0.24,0.37,0.52,0.37,0.47,0.52,0.23,0.24,0.47,0.33,0.62,0.25,0.35,0.5,0.33,0.7,0.34,0.78,0.26,0.42,0.2,0.61,0.43,0.67,0.25,0.22,0.39,0.51,0.04,0.45,0.34,0.45,0.31,0.36,0.71,0.33,0.05,0.71,0.93,0.37,0.86,0.87,0.5,0.65,0.67,0.58,0.6,0.6,0.94,0.42,0.54,0.37,0.53
0.39,0.57,0.37,0.41,0.45,0.65,0.24,0.27,0.44,0.17,0.24,0.3,0.95,0.81,0.58,0.42,0.31,0.26,0.22,0.43,0.47,0.45,0.86,0.15,0.63,0.28,0.41,0.42,0.12,0.27,0.28,0.28,0.24,0.86,0.22,0.4,0.49,0.2,0.23,0.36,0.52,0.37,0.47,0.52,0.23,0.24,0.47,0.33,0.62,0.25,0.35,0.5,0.33,0.69,0.34,0.76,0.24,0.41,0.2,0.61,0.42,0.66,0.25,0.22,0.38,0.51,0.04,0.45,0.33,0.45,0.31,0.35,0.71,0.32,0.05,0.71,0.93,0.36,0.86,0.87,0.48,0.65,0.66,0.57,0.57,0.6,0.94,0.42,0.54,0.37,0.53
0.39,0.57,0.37,0.41,0.45,0.65,0.24,0.27,0.43,0.17,0.23,0.3,0.95,0.8,0.58,0.42,0.31,0.25,0.22,0.42,0.46,0.44,0.86,0.15,0.62,0.27,0.41,0.42,0.12,0.27,0.28,0.27,0.24,0.85,0.21,0.4,0.49,0.2,0.23,0.36,0.52,0.37,0.47,0.5,0.23,0.24,0.47,0.33,0.62,0.25,0.35,0.49,0.31,0.69,0.34,0.74,0.23,0.4,0.2,0.61,0.42,0.65,0.25,0.21,0.38,0.49,0.04,0.45,0.33,0.45,0.31,0.35,0.7,0.32,0.05,0.71,0.93,0.36,0.85,0.87,0.47,0.65,0.66,0.57,0.57,0.6,0.94,0.41,0.54,0.36,0.53
0.39,0.57,0.37,0.41,0.45,0.64,0.24,0.27,0.43,0.17,0.23,0.3,0.95,0.8,0.57,0.4,0.29,0.25,0.21,0.41,0.46,0.44,0.86,0.15,0.61,0.26,0.41,0.42,0.12,0.27,0.26,0.27,0.24,0.84,0.21,0.4,0.49,0.2,0.22,0.36,0.51,0.37,0.47,0.49,0.22,0.23,0.46,0.33,0.62,0.24,0.34,0.49,0.29,0.68,0.32,0.73,0.23,0.4,0.2,0.61,0.42,0.65,0.24,0.2,0.38,0.49,0.04,0.45,0.32,0.45,0.31,0.35,0.7,0.32,0.05,0.71,0.93,0.36,0.85,0.87,0.47,0.65,0.66,0.56,0.56,0.6,0.94,0.41,0.54,0.36,0.53
0.39,0.57,0.36,0.41,0.44,0.64,0.22,0.27,0.43,0.17,0.22,0.3,0.95,0.8,0.57,0.4,0.29,0.25,0.21,0.41,0.45,0.43,0.86,0.15,0.61,0.26,0.41,0.42,0.12,0.27,0.26,0.25,0.22,0.84,0.2,0.4,0.48,0.2,0.22,0.35,0.51,0.36,0.47,0.49,0.21,0.23,0.46,0.33,0.61,0.23,0.34,0.46,0.29,0.67,0.32,0.73,0.23,0.4,0.18,0.6,0.42,0.65,0.24,0.2,0.37,0.47,0.04,0.45,0.32,0.45,0.3,0.33,0.7,0.32,0.05,0.71,0.93,0.36,0.84,0.87,0.47,0.65,0.66,0.56,0.55,0.59,0.94,0.4,0.54,0.36,0.53
0.38,0.57,0.36,0.41,0.44,0.63,0.22,0.26,0.43,0.17,0.22,0.3,0.95,0.8,0.57,0.4,0.29,0.25,0.21,0.4,0.45,0.43,0.86,0.14,0.6,0.26,0.41,0.42,0.12,0.27,0.26,0.24,0.21,0.83,0.2,0.4,0.47,0.2,0.22,0.35,0.51,0.35,0.46,0.49,0.21,0.23,0.46,0.33,0.61,0.22,0.34,0.45,0.27,0.67,0.32,0.72,0.23,0.4,0.18,0.6,0.41,0.65,0.24,0.2,0.37,0.47,0.04,0.44,0.32,0.45,0.29,0.32,0.7,0.32,0.05,0.71,0.93,0.36,0.84,0.86,0.46,0.64,0.66,0.56,0.55,0.58,0.94,0.4,0.53,0.35,0.51
0.38,0.56,0.35,0.4,0.42,0.61,0.21,0.25,0.41,0.17,0.22,0.29,0.95,0.8,0.54,0.39,0.28,0.24,0.21,0.4,0.45,0.43,0.86,0.14,0.59,0.26,0.41,0.42,0.12,0.27,0.26,0.22,0.21,0.81,0.19,0.4,0.47,0.2,0.22,0.35,0.51,0.35,0.45,0.47,0.21,0.22,0.45,0.33,0.59,0.22,0.34,0.45,0.27,0.65,0.31,0.71,0.21,0.38,0.17,0.59,0.4,0.65,0.24,0.2,0.36,0.47,0.04,0.44,0.32,0.45,0.28,0.31,0.69,0.32,0.04,0.71,0.93,0.35,0.84,0.86,0.46,0.63,0.66,0.55,0.55,0.58,0.94,0.39,0.51,0.35,0.51
0.37,0.56,0.34,0.39,0.42,0.61,0.21,0.25,0.41,0.16,0.22,0.29,0.94,0.8,0.53,0.38,0.28,0.24,0.21,0.4,0.45,0.42,0.86,0.14,0.59,0.25,0.41,0.42,0.12,0.27,0.26,0.22,0.21,0.79,0.18,0.39,0.47,0.2,0.22,0.35,0.51,0.35,0.45,0.47,0.21,0.22,0.45,0.32,0.59,0.22,0.34,0.45,0.26,0.65,0.31,0.7,0.21,0.35,0.17,0.59,0.37,0.64,0.24,0.2,0.36,0.46,0.04,0.43,0.32,0.45,0.28,0.29,0.69,0.32,0.04,0.71,0.93,0.35,0.83,0.86,0.45,0.63,0.66,0.55,0.54,0.58,0.94,0.36,0.5,0.34,0.5
0.37,0.54,0.33,0.39,0.4,0.61,0.21,0.22,0.4,0.16,0.21,0.28,0.94,0.79,0.53,0.38,0.28,0.24,0.21,0.39,0.44,0.42,0.86,0.13,0.59,0.25,0.41,0.42,0.11,0.27,0.26,0.22,0.21,0.78,0.17,0.39,0.46,0.19,0.22,0.34,0.49,0.33,0.45,0.47,0.21,0.22,0.44,0.32,0.59,0.22,0.33,0.44,0.26,0.65,0.31,0.7,0.21,0.35,0.17,0.58,0.37,0.64,0.24,0.19,0.36,0.46,0.04,0.43,0.32,0.45,0.28,0.29,0.68,0.29,0.04,0.71,0.93,0.35,0.82,0.86,0.45,0.63,0.66,0.55,0.54,0.58,0.94,0.35,0.5,0.34,0.5
0.37,0.53,0.33,0.39,0.4,0.61,0.2,0.22,0.39,0.16,0.21,0.28,0.94,0.79,0.51,0.37,0.28,0.24,0.21,0.39,0.44,0.41,0.86,0.13,0.59,0.25,0.39,0.42,0.1,0.26,0.24,0.22,0.21,0.78,0.17,0.39,0.46,0.19,0.22,0.34,0.48,0.31,0.44,0.45,0.2,0.22,0.44,0.32,0.56,0.22,0.33,0.44,0.26,0.65,0.31,0.7,0.21,0.35,0.16,0.58,0.37,0.63,0.24,0.19,0.36,0.46,0.04,0.43,0.32,0.45,0.28,0.29,0.68,0.29,0.04,0.71,0.93,0.35,0.82,0.85,0.45,0.63,0.66,0.54,0.54,0.58,0.94,0.35,0.49,0.34,0.49
0.37,0.53,0.33,0.39,0.39,0.6,0.2,0.21,0.39,0.16,0.21,0.28,0.93,0.79,0.5,0.36,0.28,0.23,0.2,0.39,0.43,0.41,0.86,0.13,0.58,0.25,0.39,0.42,0.1,0.25,0.24,0.22,0.21,0.78,0.16,0.39,0.46,0.19,0.21,0.34,0.48,0.31,0.43,0.44,0.2,0.22,0.44,0.31,0.56,0.22,0.33,0.44,0.26,0.65,0.31,0.7,0.2,0.34,0.16,0.58,0.37,0.62,0.24,0.19,0.36,0.45,0.04,0.43,0.32,0.45,0.28,0.29,0.67,0.29,0.04,0.71,0.93,0.34,0.81,0.85,0.44,0.63,0.66,0.54,0.54,0.57,0.94,0.34,0.49,0.32,0.47
0.37,0.53,0.33,0.37,0.38,0.6,0.2,0.21,0.39,0.16,0.21,0.27,0.93,0.79,0.49,0.35,0.28,0.23,0.2,0.39,0.43,0.41,0.86,0.12,0.58,0.25,0.39,0.41,0.1,0.25,0.24,0.21,0.21,0.78,0.15,0.38,0.46,0.19,0.21,0.34,0.48,0.29,0.41,0.43,0.19,0.22,0.44,0.29,0.56,0.22,0.32,0.42,0.25,0.65,0.29,0.69,0.19,0.34,0.16,0.58,0.37,0.62,0.23,0.17,0.36,0.44,0.04,0.42,0.32,0.45,0.28,0.29,0.66,0.29,0.04,0.71,0.93,0.33,0.8,0.84,0.44,0.63,0.66,0.54,0.53,0.56,0.94,0.34,0.47,0.31,0.47
0.36,0.53,0.31,0.36,0.38,0.6,0.19,0.21,0.39,0.15,0.21,0.27,0.93,0.79,0.49,0.35,0.27,0.22,0.2,0.39,0.43,0.41,0.86,0.12,0.58,0.24,0.39,0.41,0.1,0.25,0.24,0.21,0.21,0.78,0.14,0.38,0.46,0.19,0.21,0.34,0.48,0.29,0.4,0.43,0.19,0.22,0.43,0.29,0.56,0.22,0.3,0.41,0.25,0.65,0.28,0.69,0.19,0.34,0.16,0.58,0.37,0.62,0.23,0.16,0.36,0.43,0.04,0.42,0.31,0.45,0.28,0.29,0.66,0.29,0.04,0.71,0.93,0.33,0.8,0.83,0.44,0.63,0.65,0.54,0.51,0.56,0.94,0.34,0.47,0.31,0.47
0.35,0.53,0.31,0.35,0.38,0.6,0.18,0.21,0.39,0.15,0.2,0.26,0.93,0.79,0.48,0.35,0.27,0.21,0.2,0.39,0.42,0.41,0.86,0.12,0.57,0.24,0.37,0.41,0.1,0.25,0.23,0.21,0.21,0.78,0.13,0.38,0.46,0.18,0.21,0.34,0.47,0.28,0.39,0.43,0.19,0.22,0.43,0.29,0.55,0.21,0.29,0.4,0.25,0.65,0.28,0.69,0.19,0.34,0.15,0.58,0.36,0.62,0.23,0.16,0.35,0.43,0.04,0.42,0.31,0.45,0.28,0.28,0.66,0.28,0.04,0.71,0.93,0.33,0.8,0.83,0.43,0.63,0.65,0.54,0.51,0.55,0.93,0.34,0.46,0.31,0.47
0.35,0.51,0.31,0.35,0.38,0.59,0.18,0.2,0.38,0.15,0.2,0.25,0.93,0.79,0.48,0.35,0.27,0.21,0.19,0.38,0.42,0.41,0.86,0.12,0.56,0.24,0.36,0.41,0.1,0.25,0.23,0.21,0.2,0.78,0.13,0.38,0.45,0.18,0.21,0.34,0.46,0.27,0.38,0.43,0.19,0.22,0.42,0.29,0.54,0.21,0.29,0.4,0.25,0.64,0.26,0.69,0.19,0.34,0.15,0.58,0.36,0.62,0.22,0.15,0.34,0.42,0.05,0.42,0.31,0.45,0.28,0.27,0.66,0.27,0.04,0.7,0.93,0.32,0.8,0.83,0.42,0.62,0.64,0.54,0.51,0.55,0.93,0.33,0.46,0.31,0.47
0.35,0.51,0.31,0.35,0.38,0.58,0.18,0.2,0.38,0.14,0.2,0.23,0.93,0.79,0.48,0.35,0.27,0.21,0.19,0.37,0.42,0.4,0.86,0.11,0.56,0.23,0.35,0.41,0.09,0.25,0.22,0.21,0.2,0.78,0.13,0.38,0.45,0.18,0.21,0.34,0.46,0.27,0.36,0.43,0.19,0.22,0.4,0.28,0.54,0.21,0.27,0.4,0.25,0.64,0.26,0.68,0.19,0.32,0.15,0.57,0.35,0.62,0.22,0.15,0.33,0.41,0.05,0.42,0.31,0.45,0.28,0.25,0.65,0.27,0.04,0.69,0.93,0.32,0.8,0.82,0.42,0.62,0.63,0.54,0.51,0.54,0.91,0.32,0.45,0.3,0.46
0.34,0.51,0.31,0.35,0.38,0.58,0.18,0.2,0.38,0.14,0.2,0.23,0.93,0.79,0.48,0.35,0.26,0.21,0.19,0.37,0.41,0.4,0.86,0.11,0.56,0.22,0.35,0.41,0.09,0.24,0.21,0.21,0.2,0.78,0.13,0.38,0.43,0.17,0.21,0.34,0.45,0.27,0.35,0.43,0.19,0.22,0.4,0.27,0.53,0.2,0.26,0.4,0.25,0.63,0.26,0.68,0.16,0.32,0.15,0.57,0.35,0.62,0.2,0.15,0.33,0.41,0.05,0.42,0.31,0.45,0.28,0.24,0.64,0.27,0.04,0.69,0.92,0.31,0.8,0.81,0.42,0.61,0.63,0.53,0.51,0.54,0.91,0.31,0.43,0.3,0.45
0.34,0.51,0.31,0.35,0.38,0.58,0.18,0.2,0.37,0.14,0.2,0.23,0.93,0.79,0.48,0.35,0.26,0.21,0.19,0.37,0.41,0.4,0.86,0.11,0.55,0.22,0.34,0.41,0.09,0.24,0.21,0.21,0.2,0.77,0.12,0.37,0.42,0.17,0.21,0.34,0.45,0.27,0.35,0.42,0.19,0.22,0.4,0.27,0.52,0.19,0.26,0.4,0.25,0.63,0.25,0.68,0.16,0.32,0.15,0.57,0.35,0.61,0.2,0.15,0.33,0.41,0.05,0.42,0.31,0.45,0.28,0.24,0.64,0.27,0.04,0.69,0.9,0.29,0.8,0.81,0.4,0.61,0.63,0.52,0.51,0.54,0.91,0.31,0.42,0.3,0.44
0.34,0.49,0.31,0.35,0.36,0.58,0.18,0.2,0.37,0.14,0.2,0.23,0.93,0.79,0.48,0.35,0.26,0.21,0.19,0.34,0.41,0.4,0.86,0.11,0.55,0.22,0.34,0.41,0.09,0.24,0.2,0.21,0.2,0.77,0.12,0.37,0.42,0.16,0.21,0.34,0.44,0.26,0.35,0.41,0.19,0.22,0.4,0.26,0.51,0.19,0.26,0.39,0.24,0.62,0.24,0.68,0.16,0.32,0.15,0.56,0.33,0.6,0.19,0.14,0.33,0.41,0.05,0.42,0.31,0.45,0.28,0.24,0.63,0.27,0.04,0.69,0.9,0.28,0.8,0.81,0.4,0.59,0.63,0.52,0.51,0.53,0.91,0.3,0.42,0.3,0.43
0.33,0.47,0.31,0.35,0.34,0.57,0.18,0.2,0.36,0.14,0.19,0.23,0.93,0.79,0.48,0.34,0.26,0.2,0.19,0.33,0.4,0.4,0.86,0.11,0.55,0.22,0.34,0.41,0.09,0.24,0.19,0.2,0.2,0.77,0.11,0.37,0.41,0.15,0.21,0.33,0.42,0.26,0.32,0.41,0.19,0.21,0.4,0.26,0.5,0.18,0.25,0.39,0.23,0.62,0.24,0.68,0.16,0.32,0.15,0.55,0.31,0.59,0.19,0.14,0.32,0.39,0.05,0.42,0.31,0.45,0.27,0.23,0.63,0.26,0.04,0.69,0.9,0.28,0.8,0.81,0.4,0.59,0.63,0.51,0.51,0.52,0.9,0.3,0.39,0.3,0.43
0.33,0.47,0.31,0.35,0.34,0.57,0.18,0.19,0.36,0.14,0.19,0.23,0.93,0.78,0.47,0.34,0.26,0.2,0.19,0.33,0.4,0.4,0.85,0.11,0.53,0.22,0.32,0.41,0.08,0.23,0.18,0.2,0.19,0.77,0.1,0.37,0.4,0.14,0.21,0.33,0.41,0.26,0.32,0.4,0.19,0.21,0.4,0.26,0.48,0.17,0.25,0.38,0.23,0.62,0.24,0.68,0.16,0.32,0.15,0.55,0.3,0.58,0.19,0.14,0.32,0.39,0.06,0.42,0.31,0.45,0.26,0.23,0.63,0.26,0.04,0.69,0.89,0.28,0.8,0.81,0.4,0.59,0.63,0.51,0.5,0.52,0.9,0.3,0.39,0.3,0.41
